param costLimit :=100;
param: VERTICES: score := 
1	0
2	36
3	32
4	30
5	34
6	38
7	40
8	42
;
param vInit := 1;
param: ARCS: dist := 
1	1	0
1	2	25
1	3	34
1	4	40
1	5	29
1	6	24
1	7	25
1	8	29
2	1	25
2	2	0
2	3	16
2	4	24
2	5	8
2	6	8
2	7	16
2	8	24
3	1	34
3	2	16
3	3	0
3	4	8
3	5	8
3	6	24
3	7	32
3	8	40
4	1	40
4	2	24
4	3	8
4	4	0
4	5	16
4	6	32
4	7	40
4	8	48
5	1	29
5	2	8
5	3	8
5	4	16
5	5	0
5	6	16
5	7	24
5	8	32
6	1	24
6	2	8
6	3	24
6	4	32
6	5	16
6	6	0
6	7	8
6	8	16
7	1	25
7	2	16
7	3	32
7	4	40
7	5	24
7	6	8
7	7	0
7	8	8
8	1	29
8	2	24
8	3	40
8	4	48
8	5	32
8	6	16
8	7	8
8	8	0
;
end;
