param costLimit :=270;
param: VERTICES: score := 
1	0
2	5
3	6
4	9
5	9
6	11
7	14
8	16
9	16
10	18
11	20
12	22
13	24
14	26
15	24
16	25
;
param vInit := 1;
param: ARCS: dist := 
1	1	0
1	2	20
1	3	24
1	4	33
1	5	33
1	6	43
1	7	56
1	8	63
1	9	61
1	10	71
1	11	79
1	12	86
1	13	94
1	14	102
1	15	93
1	16	100
2	1	20
2	2	0
2	3	18
2	4	34
2	5	43
2	6	50
2	7	66
2	8	72
2	9	68
2	10	79
2	11	86
2	12	93
2	13	100
2	14	108
2	15	97
2	16	101
3	1	24
3	2	18
3	3	0
3	4	16
3	5	28
3	6	34
3	7	50
3	8	55
3	9	50
3	10	62
3	11	68
3	12	75
3	13	82
3	14	90
3	15	79
3	16	83
4	1	33
4	2	34
4	3	16
4	4	0
4	5	16
4	6	19
4	7	34
4	8	40
4	9	34
4	10	46
4	11	52
4	12	59
4	13	66
4	14	74
4	15	63
4	16	68
5	1	33
5	2	43
5	3	28
5	4	16
5	5	0
5	6	10
5	7	23
5	8	30
5	9	28
5	10	38
5	11	46
5	12	53
5	13	61
5	14	69
5	15	60
5	16	69
6	1	43
6	2	50
6	3	34
6	4	19
6	5	10
6	6	0
6	7	16
6	8	22
6	9	18
6	10	29
6	11	36
6	12	44
6	13	51
6	14	59
6	15	50
6	16	59
7	1	56
7	2	66
7	3	50
7	4	34
7	5	23
7	6	16
7	7	0
7	8	8
7	9	11
7	10	16
7	11	24
7	12	32
7	13	40
7	14	48
7	15	41
7	16	54
8	1	63
8	2	72
8	3	55
8	4	40
8	5	30
8	6	22
8	7	8
8	8	0
8	9	8
8	10	8
8	11	16
8	12	24
8	13	32
8	14	40
8	15	33
8	16	47
9	1	61
9	2	68
9	3	50
9	4	34
9	5	28
9	6	18
9	7	11
9	8	8
9	9	0
9	10	11
9	11	18
9	12	25
9	13	33
9	14	41
9	15	32
9	16	43
10	1	71
10	2	79
10	3	62
10	4	46
10	5	38
10	6	29
10	7	16
10	8	8
10	9	11
10	10	0
10	11	8
10	12	16
10	13	24
10	14	32
10	15	25
10	16	40
11	1	79
11	2	86
11	3	68
11	4	52
11	5	46
11	6	36
11	7	24
11	8	16
11	9	18
11	10	8
11	11	0
11	12	8
11	13	16
11	14	24
11	15	18
11	16	34
12	1	86
12	2	93
12	3	75
12	4	59
12	5	53
12	6	44
12	7	32
12	8	24
12	9	25
12	10	16
12	11	8
12	12	0
12	13	8
12	14	16
12	15	11
12	16	29
13	1	94
13	2	100
13	3	82
13	4	66
13	5	61
13	6	51
13	7	40
13	8	32
13	9	33
13	10	24
13	11	16
13	12	8
13	13	0
13	14	8
13	15	8
13	16	25
14	1	102
14	2	108
14	3	90
14	4	74
14	5	69
14	6	59
14	7	48
14	8	40
14	9	41
14	10	32
14	11	24
14	12	16
14	13	8
14	14	0
14	15	11
14	16	24
15	1	93
15	2	97
15	3	79
15	4	63
15	5	60
15	6	50
15	7	41
15	8	33
15	9	32
15	10	25
15	11	18
15	12	11
15	13	8
15	14	11
15	15	0
15	16	18
16	1	100
16	2	101
16	3	83
16	4	68
16	5	69
16	6	59
16	7	54
16	8	47
16	9	43
16	10	40
16	11	34
16	12	29
16	13	25
16	14	24
16	15	18
16	16	0
;
end;
